rt,spectrum,mz,intensity
1219.034,406,588.305144,2060
1219.034,407,588.305144,1121
1219.034,408,588.297555,1024
1219.034,410,588.30135,1527
1219.034,412,588.30135,1053
1219.034,439,500.293623,1059
1219.034,447,562.245686,1139
1219.034,448,562.249396,1033
1219.034,449,562.249396,1106
1219.034,455,562.249396,1274
1219.034,461,562.249396,1174
1219.034,472,536.167754,1200
1219.034,502,501.144342,1133
1219.575,366,577.261582,1247
1219.575,400,588.305144,1132
1219.575,401,588.289965,1229
1219.575,402,588.305144,1329
1219.575,403,588.305144,1259
1219.575,405,588.305144,1259
1219.575,406,588.308939,1165
1219.575,407,588.30135,1488
1219.575,408,588.305144,2031
1219.575,409,588.305144,1722
1219.575,410,588.30135,1467
1219.575,411,588.30135,1191
1219.575,442,516.31776,1094
1219.575,448,562.249396,1097
1219.575,452,562.253105,1109
1219.575,453,562.249396,1414
1219.575,456,562.249396,1717
1219.575,457,562.249396,1769
1219.575,461,562.253105,1118
1220.118,363,577.254064,1162
1220.118,365,577.257823,1784
1220.118,399,588.30135,1256
1220.118,401,588.30135,1819
1220.118,403,588.30135,2216
1220.118,404,588.305144,1816
1220.118,405,588.30135,2354
1220.118,406,588.297555,1182
1220.118,407,588.30135,1200
1220.118,408,588.30135,2048
1220.118,409,588.30135,1540
1220.118,410,588.30135,1455
1220.118,411,588.30135,1247
1220.118,412,588.305144,1297
1220.118,414,588.305144,1050
1220.118,420,542.263888,1056
1220.118,423,542.260245,1405
1220.118,451,562.249396,1068
1220.118,453,562.249396,1614
1220.118,456,562.249396,1717
1220.661,365,577.257823,1056
1220.661,366,577.257823,1074
1220.661,397,588.305144,1150
1220.661,399,588.308939,1981
1220.661,401,588.305144,2656
1220.661,402,588.30135,1177
1220.661,403,588.30135,1223
1220.661,404,588.30135,1505
1220.661,405,588.308939,1646
1220.661,406,588.305144,1488
1220.661,407,588.305144,1890
1220.661,408,588.30135,1091
1220.661,409,588.305144,1960
1220.661,410,588.30135,1532
