rt,mz,spectrum,intensity
1462.753,488.301501,443,1284
1462.753,488.301501,444,729
1462.753,488.301501,445,1194
1462.753,488.301501,446,453
1462.753,488.301501,447,825
1462.753,488.304958,448,1146
1462.753,488.301501,449,1041
1462.753,488.301501,450,1160
1462.753,488.298043,451,1053
1462.753,488.301501,452,732
1462.753,488.301501,453,726
1462.753,488.298043,454,957
1462.753,488.308415,455,684
1462.753,488.301501,456,628
1462.753,488.301501,457,678
1462.753,488.294586,458,352
1462.753,488.301501,459,622
1462.753,488.301501,460,98
1462.753,488.294586,461,149
1462.753,488.308415,461,177
1462.753,488.301501,462,185
1462.753,488.301501,468,205
1463.292,488.301501,432,5032
1463.292,488.301501,433,4063
1463.292,488.298043,434,3574
1463.292,488.301501,435,3750
1463.292,488.298043,436,3607
1463.292,488.301501,437,2045
1463.292,488.301501,438,2478
1463.292,488.301501,439,2497
1463.292,488.298043,440,2698
1463.292,488.301501,441,1337
1463.292,488.304958,442,1179
1463.292,488.301501,443,802
1463.292,488.298043,444,1239
1463.292,488.301501,445,1233
1463.292,488.301501,446,761
1463.292,488.301501,447,1121
1463.292,488.298043,448,906
1463.292,488.304958,449,997
1463.292,488.301501,450,583
1463.292,488.301501,451,933
1463.292,488.298043,452,668
1463.292,488.301501,453,446
1463.292,488.301501,454,525
1463.292,488.298043,456,191
1463.292,488.298043,457,264
1463.292,488.301501,458,386
1463.292,488.298043,459,266
1463.292,488.304958,460,268
1463.292,488.308415,461,274
1463.292,488.298043,463,168
1463.292,488.294586,465,75
1463.292,488.301501,466,110
1463.292,488.298043,469,86
1477.333,472.24563,483,344
1477.333,472.24563,488,420
1477.879,472.23543,478,434
1477.879,472.249029,489,159
1477.879,472.24223,493,326
1477.879,472.249029,495,210
1477.879,472.249029,501,281
1477.879,472.23543,513,351
1477.879,472.24563,513,294
1477.879,472.24563,520,332
1478.417,472.24563,483,96
1478.417,472.24563,486,252
1478.417,472.23883,492,179
1478.417,472.249029,497,234
1478.417,472.24563,502,224
1478.417,472.24223,503,169
1478.958,472.24563,481,151
1478.958,472.249029,482,238
1478.958,472.24223,488,312
1478.958,472.23883,495,316
1478.958,472.23883,496,55
1479.499,472.24223,480,74
1479.499,472.23883,485,108
1479.499,472.24563,487,253
1479.499,472.23883,493,149
1479.499,472.23883,494,414
1479.499,472.23543,496,156
1479.499,472.24563,497,179
1479.499,472.249029,502,37
1480.041,472.24563,472,109
1480.041,472.249029,475,54
1480.041,472.252429,486,120
1480.041,472.24563,487,238
1480.041,472.249029,488,97
1480.041,472.252429,489,111
1480.041,472.252429,491,137
1480.041,472.24223,493,186
1480.041,472.252429,493,200
1480.041,472.249029,498,143
1480.041,472.24563,499,152
1480.041,472.252429,500,163
1480.041,472.24563,502,160
1480.041,472.24563,518,129
1480.584,472.24223,482,284
1480.584,472.23543,483,190
1480.584,472.24223,484,190
1480.584,472.24563,485,273
1480.584,472.23883,487,183
1480.584,472.24563,488,225
1480.584,472.23883,490,146
1480.584,472.24223,491,210
1480.584,472.23883,493,159
1480.584,472.23883,494,98
1480.584,472.24223,496,142
1480.584,472.24223,497,107
1480.584,472.24563,498,275
1480.584,472.24563,499,100
1480.584,472.23883,501,168
1480.584,472.24223,503,245
1480.584,472.24563,504,54
1480.584,472.23883,506,91
1480.584,472.23543,509,39
1480.584,472.24563,510,83
1480.584,472.252429,511,89
1480.584,472.24563,529,177
1481.124,472.24223,475,70
1481.124,472.23883,478,74
1481.124,472.249029,479,57
1481.124,472.24223,480,126
1481.124,472.24563,484,99
1481.124,472.24563,486,193
1481.124,472.24223,488,173
1481.124,472.24563,490,178
1481.124,472.24223,491,269
1481.124,472.249029,492,212
1481.124,472.24223,494,153
1481.124,472.24223,495,139
1481.124,472.24223,496,75
1481.124,472.24223,497,170
1481.124,472.24223,498,227
1481.124,472.24563,499,94
1481.124,472.24563,505,183
1481.124,472.23883,507,170
1481.124,472.249029,510,109
1481.124,472.23883,520,65
1481.124,472.249029,520,65
1481.665,472.24223,470,57
1481.665,472.23543,474,19
1481.665,472.23883,477,17
1481.665,472.24563,477,15
1481.665,472.23543,480,68
1481.665,472.249029,480,59
1481.665,472.24563,481,273
1481.665,472.24563,482,66
1481.665,472.249029,483,187
1481.665,472.23883,484,64
1481.665,472.249029,484,63
1481.665,472.23883,487,80
1481.665,472.249029,487,15
1481.665,472.249029,490,196
1481.665,472.23883,492,75
1481.665,472.23543,493,133
1481.665,472.23543,497,40
1481.665,472.249029,499,110
1481.665,472.24563,500,196
1481.665,472.23543,501,107
1481.665,472.24563,502,124
1481.665,472.24223,504,80
1481.665,472.252429,504,98
1481.665,472.24563,506,226
1481.665,472.24563,511,59
1482.211,472.23883,476,95
1482.211,472.249029,476,57
1482.211,472.24563,477,356
1482.211,472.252429,480,75
1482.211,472.23883,481,59
1482.211,472.24563,482,107
1482.211,472.24223,484,262
1482.211,472.249029,487,307
1482.211,472.24223,488,145
1482.211,472.24563,489,226
1482.211,472.249029,491,197
1482.211,472.23883,492,70
1482.211,472.252429,492,161
1482.211,472.249029,493,57
1482.211,472.24223,495,75
1482.211,472.24563,497,97
1482.211,472.23883,500,84
1482.211,472.23883,502,118
1482.211,472.24223,503,88
1482.211,472.24223,504,107
1482.211,472.249029,508,77
1482.211,472.249029,509,100
1482.211,472.249029,510,16
1482.211,472.23883,514,113
1482.211,472.249029,514,86
1482.211,472.24223,519,100
1482.75,472.249029,474,98
1482.75,472.24223,478,105
1482.75,472.24223,482,24
1482.75,472.23883,483,88
1482.75,472.24223,486,126
1482.75,472.24223,487,88
1482.75,472.249029,488,412
1482.75,472.24223,490,183
1482.75,472.24563,491,198
1482.75,472.23883,493,132
1482.75,472.249029,494,105
1482.75,472.249029,495,270
1482.75,472.249029,496,202
1482.75,472.24223,497,162
1482.75,472.24223,499,217
1482.75,472.24563,500,39
